t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000376,-1.576932,1.566194,0.2883,0.3375,0.2455,0.000000,0.613592,-0.619728,0.619728,-0.625864,0.622796,-0.602854
0.0169,0.016852,-0.004865,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000376,-1.576932,1.566194,0.2883,0.3375,0.2455,0.000000,0.613592,-0.619728,0.619728,-0.625864,0.622796,-0.602854
0.0336,0.016761,-0.004731,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000389,-1.576932,1.566194,0.3384,0.3539,0.3006,0.000000,0.613592,-0.619728,0.619728,-0.625864,0.622796,-0.601320
0.0504,0.016755,-0.004597,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000387,-1.576932,1.566194,0.2343,0.3512,0.1858,0.000000,0.612058,-0.619728,0.619728,-0.625864,0.622796,-0.602854
0.0671,0.016751,-0.004463,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000449,-1.576932,1.566194,0.2180,0.3368,0.3613,0.000000,0.612058,-0.616660,0.618194,-0.624330,0.622796,-0.601320
0.0841,0.016969,-0.004327,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.000449,-1.576932,1.566194,0.2180,0.3368,0.3613,0.000000,0.592117,-0.596719,0.596719,-0.604388,0.601320,-0.581379
0.1009,0.016859,-0.004192,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.001423,-1.576932,1.566194,0.2685,0.3263,0.2316,0.000000,0.592117,-0.596719,0.596719,-0.604388,0.601320,-0.581379
0.1177,0.016799,-0.004058,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002720,-1.576932,1.566194,0.1259,0.2974,0.1882,0.000000,0.561437,-0.567573,0.567573,-0.575243,0.573709,-0.553767
0.1345,0.016751,-0.003924,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.003958,-1.576932,1.566194,0.0792,0.3056,0.1901,0.000000,0.533825,-0.538427,0.539961,-0.546097,0.544563,-0.527689
0.1513,0.016758,-0.003790,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.004886,-1.576932,1.566194,-0.0265,0.3253,0.2919,0.000000,0.512350,-0.515418,0.520019,-0.523087,0.523087,-0.507748
