t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000002,0.000000,-0.349065,0.349065,0.0000,0.0000,0.0000,-0.002486,-0.165670,0.164136,0.4350,0.6821,0.2381,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.552233
0.0168,0.016769,0.000000,-0.343212,0.343212,0.0000,0.0000,0.0000,-0.002486,-0.165670,0.164136,0.4350,0.6821,0.2381,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.552233
0.0335,0.016754,0.000000,-0.337363,0.337363,0.0000,0.0000,0.0000,-0.002475,-0.170272,0.165670,0.4454,0.7323,0.1850,0.000000,0.572175,-0.561437,0.564505,-0.592117,0.575243,-0.552233
0.0503,0.016755,0.000000,-0.331515,0.331515,0.0000,0.0000,0.0000,-0.002475,-0.171806,0.167204,0.4729,0.6406,0.1911,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.552233
0.0670,0.016763,0.000000,-0.325663,0.325663,0.0000,0.0000,0.0000,-0.002474,-0.197884,0.197884,0.3812,0.6681,0.1903,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.553767
0.0838,0.016748,0.000000,-0.319817,0.319817,0.0000,0.0000,0.0000,-0.002475,-0.263845,0.268447,0.3907,0.6652,0.1904,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.553767
0.1006,0.016759,0.000000,-0.313967,0.313967,0.0000,0.0000,0.0000,-0.002475,-0.263845,0.268447,0.3907,0.6652,0.1904,0.000000,0.572175,-0.561437,0.564505,-0.590583,0.575243,-0.553767
0.1175,0.016970,0.000000,-0.308044,0.308044,0.0000,0.0000,0.0000,-0.002462,-0.366621,0.365087,0.4289,0.6299,0.1372,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.1343,0.016762,0.000000,-0.302193,0.302193,0.0000,0.0000,0.0000,-0.002465,-0.363553,0.358952,0.4851,0.7021,0.1424,0.000000,0.572175,-0.562971,0.564505,-0.592117,0.575243,-0.552233
0.1510,0.016754,0.000000,-0.296344,0.296344,0.0000,0.0000,0.0000,-0.002463,-0.342078,0.342078,0.4190,0.6261,0.1422,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.1678,0.016766,0.000000,-0.290492,0.290492,0.0000,0.0000,0.0000,-0.002463,-0.342078,0.342078,0.4190,0.6261,0.1422,0.000000,0.572175,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.1846,0.016761,0.000000,-0.284641,0.284641,0.0000,0.0000,0.0000,-0.002464,-0.322136,0.325204,0.3973,0.7204,0.1416,0.000000,0.572175,-0.561437,0.564505,-0.592117,0.575243,-0.553767
0.2013,0.016758,0.000000,-0.278792,0.278792,0.0000,0.0000,0.0000,-0.002464,-0.303728,0.308330,0.3996,0.7106,0.1417,0.000000,0.572175,-0.561437,0.564505,-0.592117,0.575243,-0.553767
0.2181,0.016812,0.000000,-0.272923,0.272923,0.0000,0.0000,0.0000,-0.002451,-0.292990,0.297592,0.4779,0.6097,0.1960,0.000000,0.573709,-0.562971,0.564505,-0.590583,0.575243,-0.553767
0.2349,0.016755,0.000000,-0.267074,0.267074,0.0000,0.0000,0.0000,-0.002403,-0.291456,0.289922,0.4308,0.6201,0.0836,0.000000,0.575243,-0.562971,0.564505,-0.592117,0.575243,-0.556835
0.2520,0.017085,0.000000,-0.261110,0.261110,0.0000,0.0000,0.0000,-0.002403,-0.286854,0.285320,0.4308,0.6201,0.0836,0.000000,0.576777,-0.562971,0.564505,-0.592117,0.575243,-0.558369
0.2687,0.016757,0.000000,-0.255261,0.255261,0.0000,0.0000,0.0000,-0.002383,-0.286854,0.285320,0.4361,0.5858,0.0956,0.000000,0.576777,-0.562971,0.564505,-0.592117,0.575243,-0.558369
0.2855,0.016754,0.000000,-0.249413,0.249413,0.0000,0.0000,0.0000,-0.002385,-0.283786,0.280718,0.4356,0.5894,0.0944,0.000000,0.576777,-0.562971,0.564505,-0.592117,0.575243,-0.558369
0.3022,0.016756,0.000000,-0.243564,0.243564,0.0000,0.0000,0.0000,-0.002386,-0.277651,0.276117,0.4073,0.5397,0.0946,0.000000,0.578311,-0.561437,0.562971,-0.592117,0.575243,-0.559903
0.3190,0.016756,0.000000,-0.237715,0.237715,0.0000,0.0000,0.0000,-0.002347,-0.266913,0.271515,0.4284,0.4770,0.1489,0.000000,0.579845,-0.562971,0.564505,-0.590583,0.575243,-0.561437
0.3358,0.016760,0.000000,-0.231865,0.231865,0.0000,0.0000,0.0000,-0.002351,-0.257709,0.262311,0.4262,0.4835,0.1432,0.000000,0.579845,-0.562971,0.564505,-0.590583,0.575243,-0.561437
