t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,-1.745329,1.745329,0.0000,0.0000,0.0000,-0.002497,-1.613748,1.606078,0.4633,0.7705,0.2864,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.550699
0.0168,0.016792,0.000000,-1.741812,1.741812,0.0000,0.0000,0.0000,-0.002497,-1.613748,1.606078,0.4633,0.7705,0.2864,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.550699
0.0336,0.016760,0.000000,-1.738302,1.738302,0.0000,0.0000,0.0000,-0.002513,-1.612214,1.606078,0.5028,0.7943,0.3398,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.549165
0.0503,0.016759,0.000000,-1.734792,1.734792,0.0000,0.0000,0.0000,-0.002523,-1.621418,1.615282,0.4882,0.7410,0.3879,0.000000,0.572175,-0.559903,0.564505,-0.590583,0.575243,-0.549165
0.0671,0.016759,0.000000,-1.731282,1.731282,0.0000,0.0000,0.0000,-0.002510,-1.670505,1.670505,0.4111,0.8152,0.3289,0.000000,0.572175,-0.558369,0.564505,-0.592117,0.575243,-0.550699
0.0838,0.016768,0.000000,-1.727770,1.727770,0.0000,0.0000,0.0000,-0.002510,-1.741068,1.734932,0.4479,0.7210,0.3357,0.000000,0.572175,-0.559903,0.564505,-0.590583,0.575243,-0.550699
0.1006,0.016760,0.000000,-1.724260,1.724260,0.0000,0.0000,0.0000,-0.002499,-1.771748,1.765612,0.4546,0.7816,0.2813,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.550699
0.1174,0.016781,0.000000,-1.720745,1.720745,0.0000,0.0000,0.0000,-0.002499,-1.767146,1.765612,0.4546,0.7816,0.2813,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.552233
0.1341,0.016758,0.000000,-1.717236,1.717236,0.0000,0.0000,0.0000,-0.002486,-1.767146,1.765612,0.4042,0.7575,0.2336,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.552233
0.1509,0.016759,0.000000,-1.713726,1.713726,0.0000,0.0000,0.0000,-0.002486,-1.754874,1.759476,0.3491,0.6915,0.2389,0.000000,0.572175,-0.559903,0.564505,-0.590583,0.575243,-0.553767
0.1677,0.016792,0.000000,-1.710209,1.710209,0.0000,0.0000,0.0000,-0.002460,-1.744136,1.754874,0.2555,0.6631,0.1316,0.000000,0.572175,-0.559903,0.564505,-0.590583,0.575243,-0.556835
0.1846,0.016930,0.000000,-1.706663,1.706663,0.0000,0.0000,0.0000,-0.002438,-1.738000,1.750272,0.2263,0.6993,0.0355,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.558369
0.2014,0.016752,0.000000,-1.703154,1.703154,0.0000,0.0000,0.0000,-0.002427,-1.734932,1.745670,0.1799,0.6780,-0.0080,0.000000,0.572175,-0.559903,0.564505,-0.592117,0.575243,-0.559903
0.2188,0.017453,0.000000,-1.699499,1.699499,0.0000,0.0000,0.0000,-0.002427,-1.733398,1.742602,0.1799,0.6780,-0.0080,0.000000,0.573709,-0.559903,0.564505,-0.592117,0.575243,-0.559903
0.2356,0.016755,0.000000,-1.695990,1.695990,0.0000,0.0000,0.0000,-0.002416,-1.733398,1.742602,0.2346,0.6645,0.0503,0.000000,0.573709,-0.559903,0.564505,-0.592117,0.575243,-0.559903
0.2523,0.016755,0.000000,-1.692481,1.692481,0.0000,0.0000,0.0000,-0.002406,-1.731864,1.739534,0.2788,0.6502,0.0981,0.000000,0.575243,-0.559903,0.564505,-0.592117,0.575243,-0.559903
0.2691,0.016761,0.000000,-1.688970,1.688970,0.0000,0.0000,0.0000,-0.002382,-1.730330,1.739534,0.3633,0.6006,0.0938,0.000000,0.576777,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.2859,0.016767,0.000000,-1.685459,1.685459,0.0000,0.0000,0.0000,-0.002385,-1.725728,1.738000,0.3544,0.6058,0.0942,0.000000,0.576777,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.3026,0.016758,0.000000,-1.681949,1.681949,0.0000,0.0000,0.0000,-0.002372,-1.722660,1.733398,0.4336,0.5033,0.1486,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.3194,0.016770,0.000000,-1.678437,1.678437,0.0000,0.0000,0.0000,-0.002372,-1.722660,1.733398,0.4336,0.5033,0.1486,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.3361,0.016750,0.000000,-1.674928,1.674928,0.0000,0.0000,0.0000,-0.002373,-1.721126,1.724194,0.4254,0.5140,0.1429,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.3529,0.016755,0.000000,-1.671419,1.671419,0.0000,0.0000,0.0000,-0.002361,-1.721126,1.714991,0.4370,0.5637,0.0898,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.3696,0.016748,0.000000,-1.667912,1.667912,0.0000,0.0000,0.0000,-0.002375,-1.721126,1.707321,0.3966,0.5940,0.1485,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.3864,0.016754,0.000000,-1.664403,1.664403,0.0000,0.0000,0.0000,-0.002361,-1.716525,1.701185,0.4400,0.5553,0.0892,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.4031,0.016751,0.000000,-1.660894,1.660894,0.0000,0.0000,0.0000,-0.002363,-1.707321,1.696583,0.4355,0.5594,0.0954,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.4199,0.016769,0.000000,-1.657382,1.657382,0.0000,0.0000,0.0000,-0.002363,-1.707321,1.696583,0.4355,0.5594,0.0954,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.4367,0.016753,0.000000,-1.653874,1.653874,0.0000,0.0000,0.0000,-0.002375,-1.696583,1.690447,0.3968,0.5945,0.1479,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.4534,0.016756,0.000000,-1.650364,1.650364,0.0000,0.0000,0.0000,-0.002385,-1.688913,1.688913,0.3900,0.5400,0.1962,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.4703,0.016910,0.000000,-1.646823,1.646823,0.0000,0.0000,0.0000,-0.002373,-1.681243,1.688913,0.4015,0.5965,0.1374,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.4873,0.016959,0.000000,-1.643271,1.643271,0.0000,0.0000,0.0000,-0.002386,-1.678175,1.687379,0.3895,0.5398,0.1973,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.5043,0.016990,0.000000,-1.639712,1.639712,0.0000,0.0000,0.0000,-0.002373,-1.673573,1.687379,0.4015,0.5965,0.1373,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.5211,0.016784,0.000000,-1.636197,1.636197,0.0000,0.0000,0.0000,-0.002373,-1.673573,1.687379,0.4015,0.5965,0.1373,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.5378,0.016755,0.000000,-1.632688,1.632688,0.0000,0.0000,0.0000,-0.002374,-1.670505,1.687379,0.4003,0.5906,0.1435,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.5546,0.016769,0.000000,-1.629176,1.629176,0.0000,0.0000,0.0000,-0.002374,-1.667437,1.687379,0.4003,0.5906,0.1435,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.5713,0.016754,0.000000,-1.625667,1.625667,0.0000,0.0000,0.0000,-0.002373,-1.665903,1.685845,0.4289,0.5049,0.1434,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.5881,0.016763,0.000000,-1.622156,1.622156,0.0000,0.0000,0.0000,-0.002373,-1.665903,1.685845,0.4289,0.5049,0.1434,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.6049,0.016756,0.000000,-1.618647,1.618647,0.0000,0.0000,0.0000,-0.002386,-1.665903,1.678175,0.3867,0.5493,0.1966,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.6216,0.016754,0.000000,-1.615138,1.615138,0.0000,0.0000,0.0000,-0.002384,-1.665903,1.665903,0.3911,0.5447,0.1911,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.6384,0.016821,0.000000,-1.611615,1.611615,0.0000,0.0000,0.0000,-0.002360,-1.665903,1.656699,0.4406,0.5605,0.0848,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.6552,0.016760,0.000000,-1.608105,1.608105,0.0000,0.0000,0.0000,-0.002387,-1.665903,1.649029,0.3855,0.5436,0.2027,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.6720,0.016843,0.000000,-1.604577,1.604577,0.0000,0.0000,0.0000,-0.002384,-1.664369,1.645961,0.3912,0.5453,0.1905,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.6888,0.016759,0.000000,-1.601067,1.601067,0.0000,0.0000,0.0000,-0.002384,-1.664369,1.645961,0.3912,0.5453,0.1905,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.7056,0.016763,0.000000,-1.597556,1.597556,0.0000,0.0000,0.0000,-0.002360,-1.653631,1.641359,0.4405,0.5604,0.0848,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.7223,0.016780,0.000000,-1.594042,1.594042,0.0000,0.0000,0.0000,-0.002363,-1.641359,1.638291,0.4354,0.5588,0.0958,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.7391,0.016747,0.000000,-1.590535,1.590535,0.0000,0.0000,0.0000,-0.002374,-1.632156,1.633690,0.4252,0.5082,0.1484,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.7558,0.016752,0.000000,-1.587026,1.587026,0.0000,0.0000,0.0000,-0.002361,-1.626020,1.633690,0.4370,0.5643,0.0892,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.7729,0.017086,0.000000,-1.583448,1.583448,0.0000,0.0000,0.0000,-0.002363,-1.621418,1.633690,0.4358,0.5584,0.0954,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.7897,0.016766,0.000000,-1.579936,1.579936,0.0000,0.0000,0.0000,-0.002363,-1.621418,1.633690,0.4358,0.5584,0.0954,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.8065,0.016767,0.000000,-1.576425,1.576425,0.0000,0.0000,0.0000,-0.002363,-1.618350,1.633690,0.4358,0.5584,0.0954,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
0.8232,0.016784,0.000000,-1.572909,1.572909,0.0000,0.0000,0.0000,-0.002387,-1.615282,1.630622,0.3860,0.5438,0.2016,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.8400,0.016760,0.000000,-1.569399,1.569399,0.0000,0.0000,0.0000,-0.002373,-1.613748,1.626020,0.4019,0.5961,0.1368,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.8568,0.016749,0.000000,-1.565891,1.565891,0.0000,0.0000,0.0000,-0.002373,-1.612214,1.615282,0.4287,0.5043,0.1441,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
0.8735,0.016767,0.000000,-1.562380,1.562380,0.0000,0.0000,0.0000,-0.002373,-1.612214,1.606078,0.4287,0.5043,0.1441,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.8903,0.016762,0.000000,-1.558869,1.558869,0.0000,0.0000,0.0000,-0.002374,-1.612214,1.606078,0.3974,0.6002,0.1428,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.9070,0.016767,0.000000,-1.555357,1.555357,0.0000,0.0000,0.0000,-0.002374,-1.612214,1.598408,0.4007,0.5902,0.1430,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.9238,0.016759,0.000000,-1.551847,1.551847,0.0000,0.0000,0.0000,-0.002374,-1.612214,1.595340,0.4002,0.5916,0.1429,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.9406,0.016768,0.000000,-1.548335,1.548335,0.0000,0.0000,0.0000,-0.002374,-1.612214,1.592272,0.4002,0.5916,0.1429,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.9575,0.016905,0.000000,-1.544795,1.544795,0.0000,0.0000,0.0000,-0.002386,-1.607612,1.592272,0.3896,0.5403,0.1967,0.000000,0.578311,-0.561437,0.564505,-0.590583,0.575243,-0.559903
0.9742,0.016763,0.000000,-1.541284,1.541284,0.0000,0.0000,0.0000,-0.002386,-1.596874,1.592272,0.3896,0.5403,0.1967,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
0.9910,0.016762,0.000000,-1.537774,1.537774,0.0000,0.0000,0.0000,-0.002373,-1.596874,1.592272,0.4015,0.5965,0.1373,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
1.0078,0.016767,0.000000,-1.534262,1.534262,0.0000,0.0000,0.0000,-0.002361,-1.584602,1.589204,0.4395,0.5551,0.0904,0.000000,0.578311,-0.562971,0.564505,-0.592117,0.575243,-0.559903
1.0245,0.016756,0.000000,-1.530752,1.530752,0.0000,0.0000,0.0000,-0.002374,-1.572330,1.584602,0.4248,0.5086,0.1490,0.000000,0.578311,-0.562971,0.564505,-0.590583,0.575243,-0.559903
1.0413,0.016792,0.000000,-1.527236,1.527236,0.0000,0.0000,0.0000,-0.002374,-1.564660,1.578466,0.3978,0.5998,0.1423,0.000000,0.578311,-0.561437,0.564505,-0.592117,0.575243,-0.559903
