t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.003031,-1.576932,1.566194,0.7185,0.9571,0.4686,0.000000,0.566039,-0.547631,0.559903,-0.573709,0.552233,-0.541495
0.0168,0.016761,-0.004799,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002972,-1.576932,1.566194,0.6866,0.8823,0.4315,0.000000,0.566039,-0.550699,0.561437,-0.573709,0.553767,-0.543029
0.0338,0.016989,-0.004595,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002972,-1.576932,1.566194,0.6866,0.8823,0.4315,0.000000,0.566039,-0.550699,0.561437,-0.573709,0.553767,-0.543029
0.0505,0.016757,-0.004394,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002854,-1.576932,1.566194,0.7793,0.9414,0.4368,0.000000,0.569107,-0.553767,0.564505,-0.576777,0.555301,-0.544563
0.0673,0.016754,-0.004193,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002741,-1.576932,1.566194,0.8485,0.8308,0.3309,0.000000,0.572175,-0.558369,0.566039,-0.578311,0.556835,-0.547631
0.0840,0.016754,-0.003992,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002926,-1.576932,1.566194,0.7812,0.8077,0.3409,0.000000,0.567573,-0.555301,0.562971,-0.573709,0.553767,-0.544563
0.1008,0.016760,-0.003791,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.003704,-1.576932,1.566194,0.7004,0.5893,0.3354,0.000000,0.550699,-0.539961,0.544563,-0.555301,0.539961,-0.529223
0.1175,0.016763,-0.003590,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.004475,-1.576932,1.566194,0.5599,0.5600,0.3319,0.000000,0.530757,-0.523087,0.527689,-0.536893,0.524621,-0.512350
0.1343,0.016770,-0.003388,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.004475,-1.576932,1.566194,0.5599,0.5600,0.3319,0.000000,0.530757,-0.523087,0.527689,-0.536893,0.524621,-0.512350
0.1511,0.016751,-0.003187,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.004947,-1.576932,1.566194,0.2138,0.3542,0.3293,0.000000,0.515418,-0.512350,0.516952,-0.521553,0.516952,-0.504680
