t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000309,-1.573864,1.566194,0.1305,0.3366,0.2470,0.000000,0.613592,-0.619728,0.621262,-0.627398,0.625864,-0.605922
0.0172,0.017225,-0.004974,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000309,-1.573864,1.566194,0.1305,0.3366,0.2470,0.000000,0.613592,-0.619728,0.621262,-0.627398,0.625864,-0.605922
0.0340,0.016751,-0.004949,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000309,-1.573864,1.566194,0.1305,0.3366,0.2470,0.000000,0.613592,-0.619728,0.621262,-0.627398,0.625864,-0.605922
0.0507,0.016744,-0.004924,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000309,-1.573864,1.566194,0.1305,0.3366,0.2470,0.000000,0.613592,-0.619728,0.621262,-0.627398,0.625864,-0.605922
0.0675,0.016745,-0.004899,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000309,-1.573864,1.566194,0.1305,0.3366,0.2470,0.000000,0.613592,-0.619728,0.621262,-0.627398,0.625864,-0.605922
0.0842,0.016741,-0.004874,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.000970,-1.573864,1.566194,0.0905,0.2727,0.1363,0.000000,0.599786,-0.605922,0.605922,-0.613592,0.612058,-0.593651
0.1009,0.016730,-0.004849,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.002331,-1.573864,1.566194,0.0450,0.2683,0.2524,0.000000,0.570641,-0.575243,0.576777,-0.582913,0.582913,-0.564505
0.1177,0.016751,-0.004823,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.003710,-1.572330,1.566194,0.1371,0.3247,0.2367,0.000000,0.539961,-0.544563,0.546097,-0.552233,0.550699,-0.532291
0.1344,0.016746,-0.004798,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.004836,-1.573864,1.566194,0.0881,0.3240,0.2871,0.000000,0.515418,-0.516952,0.520019,-0.526155,0.524621,-0.507748
0.1512,0.016750,-0.004773,-1.570796,1.566194,0.0000,0.0000,0.0000,-0.004836,-1.573864,1.566194,0.0881,0.3240,0.2871,0.000000,0.515418,-0.516952,0.520019,-0.526155,0.524621,-0.507748
