t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,-0.174533,0.174533,0.0000,0.0000,0.0000,-0.002463,0.000000,-0.003068,0.4972,0.5132,0.3373,0.000000,0.575243,-0.562971,0.564505,-0.587515,0.575243,-0.553767
0.0168,0.016753,0.000000,-0.173948,0.173948,0.0000,0.0000,0.0000,-0.002476,0.006136,-0.003068,0.5464,0.5306,0.3899,0.000000,0.575243,-0.562971,0.564505,-0.587515,0.575243,-0.552233
0.0335,0.016767,0.000000,-0.173363,0.173363,0.0000,0.0000,0.0000,-0.002450,0.004602,-0.001534,0.5413,0.4956,0.3849,0.000000,0.576777,-0.562971,0.564505,-0.587515,0.575243,-0.553767
0.0512,0.017700,0.000000,-0.172745,0.172745,0.0000,0.0000,0.0000,-0.002452,-0.039884,0.035282,0.5418,0.4993,0.3854,0.000000,0.576777,-0.562971,0.564505,-0.587515,0.575243,-0.553767
0.0680,0.016777,0.000000,-0.172159,0.172159,0.0000,0.0000,0.0000,-0.002452,-0.113515,0.111981,0.5418,0.4993,0.3854,0.000000,0.576777,-0.562971,0.564505,-0.587515,0.575243,-0.553767
0.0848,0.016766,0.000000,-0.171574,0.171574,0.0000,0.0000,0.0000,-0.002452,-0.113515,0.111981,0.5418,0.4993,0.3854,0.000000,0.576777,-0.562971,0.564505,-0.587515,0.575243,-0.553767
0.1015,0.016747,0.000000,-0.170990,0.170990,0.0000,0.0000,0.0000,-0.002426,-0.181010,0.181010,0.4422,0.4634,0.2786,0.000000,0.576777,-0.562971,0.564505,-0.587515,0.575243,-0.556835
0.1183,0.016762,0.000000,-0.170404,0.170404,0.0000,0.0000,0.0000,-0.002404,-0.205553,0.204019,0.4528,0.4340,0.2901,0.000000,0.578311,-0.562971,0.564505,-0.587515,0.575243,-0.558369
0.1350,0.016762,0.000000,-0.169819,0.169819,0.0000,0.0000,0.0000,-0.002406,-0.197884,0.197884,0.4517,0.4371,0.2889,0.000000,0.578311,-0.562971,0.564505,-0.587515,0.575243,-0.558369
0.1518,0.016764,0.000000,-0.169234,0.169234,0.0000,0.0000,0.0000,-0.002393,-0.181010,0.182544,0.4021,0.4191,0.2357,0.000000,0.578311,-0.562971,0.564505,-0.587515,0.575243,-0.559903
0.1686,0.016781,0.000000,-0.168648,0.168648,0.0000,0.0000,0.0000,-0.002393,-0.181010,0.182544,0.4021,0.4191,0.2357,0.000000,0.578311,-0.562971,0.564505,-0.587515,0.575243,-0.559903
0.1853,0.016769,0.000000,-0.168063,0.168063,0.0000,0.0000,0.0000,-0.002369,-0.170272,0.171806,0.4074,0.3878,0.2415,0.000000,0.579845,-0.562971,0.564505,-0.587515,0.575243,-0.561437
0.2021,0.016754,0.000000,-0.167478,0.167478,0.0000,0.0000,0.0000,-0.002372,-0.168738,0.165670,0.4069,0.3911,0.2409,0.000000,0.579845,-0.562971,0.564505,-0.587515,0.575243,-0.561437
0.2189,0.016768,0.000000,-0.166893,0.166893,0.0000,0.0000,0.0000,-0.002372,-0.174874,0.173340,0.4069,0.3911,0.2409,0.000000,0.579845,-0.562971,0.564505,-0.587515,0.575243,-0.561437
0.2358,0.016929,0.000000,-0.166302,0.166302,0.0000,0.0000,0.0000,-0.002372,-0.174874,0.173340,0.4069,0.3911,0.2409,0.000000,0.579845,-0.562971,0.564505,-0.587515,0.575243,-0.561437
0.2528,0.017027,0.000000,-0.165708,0.165708,0.0000,0.0000,0.0000,-0.002372,-0.171806,0.168738,0.4069,0.3911,0.2409,0.000000,0.579845,-0.562971,0.564505,-0.587515,0.575243,-0.561437
0.2696,0.016762,0.000000,-0.165122,0.165122,0.0000,0.0000,0.0000,-0.002372,-0.168738,0.168738,0.4069,0.3911,0.2409,0.000000,0.579845,-0.562971,0.564505,-0.589049,0.575243,-0.561437
0.2864,0.016767,0.000000,-0.164537,0.164537,0.0000,0.0000,0.0000,-0.002360,-0.168738,0.168738,0.4177,0.4416,0.1873,0.000000,0.579845,-0.562971,0.564505,-0.589049,0.575243,-0.561437
0.3031,0.016768,0.000000,-0.163952,0.163952,0.0000,0.0000,0.0000,-0.002361,-0.168738,0.168738,0.4166,0.4364,0.1929,0.000000,0.579845,-0.562971,0.564505,-0.589049,0.575243,-0.561437
