t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,0.000000,-0.174533,0.174533,0.0000,0.0000,0.0000,-0.002639,0.007670,-0.010738,1.1735,0.9845,0.0426,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.549165
0.0201,0.020077,0.000000,-0.164020,0.164020,0.0000,0.0000,0.0000,-0.002653,0.000000,-0.003068,1.1843,0.9331,-0.0103,0.001534,0.582913,-0.555301,0.555301,-0.595185,0.558369,-0.549165
0.0402,0.020083,0.000000,-0.153505,0.153505,0.0000,0.0000,0.0000,-0.002651,-0.001534,-0.001534,1.1831,0.9384,-0.0048,0.001534,0.582913,-0.555301,0.555301,-0.595185,0.558369,-0.549165
0.0602,0.020082,0.000000,-0.142990,0.142990,0.0000,0.0000,0.0000,-0.002625,-0.036816,0.036816,1.1230,0.9717,-0.0053,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.550699
0.0803,0.020077,0.000000,-0.132478,0.132478,0.0000,0.0000,0.0000,-0.002628,-0.104311,0.105845,1.1293,0.9682,-0.0052,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.550699
0.1004,0.020079,0.000000,-0.121964,0.121964,0.0000,0.0000,0.0000,-0.002614,-0.167204,0.168738,1.0794,0.9504,-0.0588,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.552233
0.1205,0.020080,0.000000,-0.111451,0.111451,0.0000,0.0000,0.0000,-0.002603,-0.181010,0.177942,1.0353,0.9342,-0.1068,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.553767
0.1406,0.020085,0.000000,-0.100934,0.100934,0.0000,0.0000,0.0000,-0.002591,-0.170272,0.167204,0.9907,0.9178,-0.1553,0.001534,0.582913,-0.555301,0.556835,-0.595185,0.558369,-0.555301
0.1606,0.020079,0.000000,-0.090421,0.090421,0.0000,0.0000,0.0000,-0.002568,-0.145728,0.145728,0.9959,0.8860,-0.1499,0.001534,0.584447,-0.555301,0.556835,-0.595185,0.558369,-0.556835
0.1807,0.020077,0.000000,-0.079908,0.079908,0.0000,0.0000,0.0000,-0.002559,-0.121184,0.125786,1.0451,0.8739,-0.0964,0.001534,0.585981,-0.555301,0.556835,-0.595185,0.558369,-0.556835
