t,loop_dt,cmd_z,cmd_ant_l,cmd_ant_r,cmd_roll,cmd_pitch,cmd_yaw,pres_z,pres_ant_l,pres_ant_r,pres_roll,pres_pitch,pres_yaw,pres_j0,pres_j1,pres_j2,pres_j3,pres_j4,pres_j5,pres_j6
0.0000,0.000001,-0.005000,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002930,-1.576932,1.566194,0.7274,1.1684,0.5389,0.000000,0.572175,-0.544563,0.562971,-0.578311,0.550699,-0.546097
0.0201,0.020076,-0.004759,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002853,-1.576932,1.566194,0.7283,1.2072,0.3731,0.000000,0.572175,-0.547631,0.564505,-0.581379,0.552233,-0.547631
0.0402,0.020079,-0.004518,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002786,-1.576932,1.566194,0.8079,1.2014,0.2856,0.000000,0.573709,-0.550699,0.566039,-0.582913,0.552233,-0.549165
0.0602,0.020076,-0.004277,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.002718,-1.576932,1.566194,0.8284,1.2871,0.2963,0.000000,0.575243,-0.552233,0.569107,-0.584447,0.552233,-0.550699
0.0803,0.020086,-0.004036,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.003147,-1.576932,1.566194,0.9069,1.2103,0.1886,0.000000,0.566039,-0.546097,0.559903,-0.575243,0.543029,-0.541495
0.1004,0.020075,-0.003795,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.003937,-1.576932,1.566194,0.7611,1.0836,0.1433,0.000000,0.547631,-0.529223,0.541495,-0.556835,0.527689,-0.526155
0.1205,0.020080,-0.003554,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.004669,-1.576932,1.566194,0.6756,0.9608,0.1970,0.000000,0.529223,-0.513884,0.524621,-0.538427,0.513884,-0.509282
0.1406,0.020082,-0.003313,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.005090,-1.576932,1.566194,0.2915,0.4701,0.1877,0.000000,0.513884,-0.507748,0.513884,-0.520019,0.509282,-0.503146
0.1606,0.020075,-0.003072,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.005097,-1.576932,1.566194,0.1199,0.4320,0.1879,0.000000,0.509282,-0.507748,0.513884,-0.516952,0.510816,-0.503146
0.1807,0.020086,-0.002831,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.005071,-1.576932,1.566194,0.1481,0.3844,0.2917,0.000000,0.510816,-0.507748,0.513884,-0.516952,0.512350,-0.503146
0.2008,0.020075,-0.002591,-1.576932,1.566194,0.0000,0.0000,0.0000,-0.005061,-1.578466,1.566194,0.1953,0.3727,0.3330,0.000000,0.512350,-0.507748,0.513884,-0.516952,0.512350,-0.503146
