t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
0.0000,0.000001,-0.349066,0.349066,-0.176408,0.173340
0.0168,0.016769,-0.348521,0.348521,-0.176408,0.173340
0.0335,0.016761,-0.346891,0.346891,-0.176408,0.173340
0.0503,0.016752,-0.344189,0.344189,-0.181010,0.177942
0.0670,0.016747,-0.340431,0.340431,-0.230097,0.227029
0.0838,0.016752,-0.335638,0.335638,-0.316000,0.311398
0.1005,0.016752,-0.329843,0.329843,-0.374291,0.366621
0.1173,0.016762,-0.323075,0.323075,-0.383495,0.371223
0.1340,0.016753,-0.315386,0.315386,-0.383495,0.371223
0.1508,0.016754,-0.306819,0.306819,-0.369689,0.357418
0.1675,0.016741,-0.297435,0.297435,-0.348214,0.342078
0.1843,0.016741,-0.287286,0.287286,-0.331340,0.329806
0.2010,0.016743,-0.276435,0.276435,-0.314466,0.316000
0.2178,0.016754,-0.264942,0.264942,-0.299126,0.305262
0.2345,0.016743,-0.252894,0.252894,-0.299126,0.305262
0.2513,0.016752,-0.240351,0.240351,-0.288388,0.294524
0.2680,0.016747,-0.227403,0.227403,-0.280718,0.285320
0.2848,0.016751,-0.214122,0.214122,-0.271515,0.274583
0.3017,0.016941,-0.200440,0.200440,-0.259243,0.257709
0.3185,0.016763,-0.186739,0.186739,-0.240835,0.242369
0.3352,0.016744,-0.172977,0.172977,-0.240835,0.242369
0.3520,0.016759,-0.159213,0.159213,-0.222427,0.225495
0.3687,0.016749,-0.145553,0.145553,-0.202485,0.207087
0.3855,0.016746,-0.132075,0.132075,-0.188680,0.193282
0.4022,0.016751,-0.118858,0.118858,-0.168738,0.173340
0.4193,0.017102,-0.105722,0.105722,-0.150330,0.153398
0.4361,0.016749,-0.093290,0.093290,-0.150330,0.153398
0.4528,0.016755,-0.081359,0.081359,-0.133456,0.136524
0.4696,0.016744,-0.070016,0.070016,-0.119651,0.116583
0.4863,0.016748,-0.059322,0.059322,-0.105845,0.104311
0.5031,0.016743,-0.049347,0.049347,-0.090505,0.087437
0.5199,0.016811,-0.040116,0.040116,-0.073631,0.072097
0.5366,0.016744,-0.031759,0.031759,-0.073631,0.072097
0.5534,0.016754,-0.024286,0.024286,-0.059825,0.058291
0.5701,0.016744,-0.017753,0.017753,-0.046019,0.046019
0.5869,0.016744,-0.012196,0.012196,-0.035282,0.036816
0.6036,0.016747,-0.007648,0.007648,-0.026078,0.027612
0.6204,0.016771,-0.004135,0.004135,-0.026078,0.027612
0.6371,0.016750,-0.001687,0.001687,-0.015340,0.018408
0.6539,0.016753,-0.000316,0.000316,-0.007670,0.007670
0.6706,0.016747,-0.000030,0.000030,-0.007670,0.003068
0.6875,0.016872,-0.000841,0.000841,-0.003068,0.003068
0.7042,0.016743,-0.002730,0.002730,0.001534,0.001534
0.7210,0.016795,-0.005699,0.005699,0.000000,0.000000
0.7378,0.016753,-0.009713,0.009713,0.000000,0.000000
0.7546,0.016756,-0.014755,0.014755,-0.006136,0.000000
0.7713,0.016755,-0.020793,0.020793,-0.003068,0.000000
0.7881,0.016776,-0.027798,0.027798,-0.001534,0.003068
0.8048,0.016750,-0.035706,0.035706,-0.006136,0.010738
0.8216,0.016763,-0.044486,0.044486,-0.018408,0.023010
0.8383,0.016753,-0.054070,0.054070,-0.018408,0.023010
0.8551,0.016752,-0.064405,0.064405,-0.032214,0.029146
0.8719,0.016751,-0.075425,0.075425,-0.042951,0.035282
0.8886,0.016761,-0.087069,0.087069,-0.047553,0.044485
0.9054,0.016747,-0.099249,0.099249,-0.056757,0.058291
0.9221,0.016766,-0.111912,0.111912,-0.056757,0.058291
0.9389,0.016747,-0.124950,0.124950,-0.072097,0.072097
0.9556,0.016767,-0.138313,0.138313,-0.090505,0.090505
0.9724,0.016747,-0.151886,0.151886,-0.104311,0.101243
0.9891,0.016756,-0.165607,0.165607,-0.115049,0.107379
1.0059,0.016768,-0.179394,0.179394,-0.133456,0.124252
1.0239,0.018014,-0.194169,0.194169,-0.133456,0.124252
1.0407,0.016752,-0.207784,0.207784,-0.154932,0.147262
1.0574,0.016746,-0.221187,0.221187,-0.173340,0.168738
1.0742,0.016747,-0.234301,0.234301,-0.184078,0.182544
1.0909,0.016755,-0.247048,0.247048,-0.191748,0.190214
1.1077,0.016743,-0.259335,0.259335,-0.208621,0.204019
1.1244,0.016773,-0.271116,0.271116,-0.231631,0.227029
1.1412,0.016755,-0.282281,0.282281,-0.231631,0.227029
1.1579,0.016742,-0.292767,0.292767,-0.253107,0.250039
1.1747,0.016742,-0.302517,0.302517,-0.265379,0.263845
1.1914,0.016750,-0.311476,0.311476,-0.271515,0.269981
1.2082,0.016744,-0.319579,0.319579,-0.279185,0.277651
1.2249,0.016753,-0.326783,0.326783,-0.297592,0.300660
1.2417,0.016769,-0.333043,0.333043,-0.297592,0.300660
1.2584,0.016741,-0.338307,0.338307,-0.319068,0.319068
1.2752,0.016741,-0.342552,0.342552,-0.328272,0.319068
1.2919,0.016755,-0.345755,0.345755,-0.329806,0.320602
1.3087,0.016744,-0.347889,0.347889,-0.339010,0.335942
1.3254,0.016757,-0.348945,0.348945,-0.339010,0.335942
1.3422,0.016749,-0.348914,0.348914,-0.349748,0.346680
1.3589,0.016739,-0.347799,0.347799,-0.349748,0.345146
1.3757,0.016741,-0.345605,0.345605,-0.346680,0.342078
1.3924,0.016743,-0.342347,0.342347,-0.354350,0.349748
1.4092,0.016744,-0.338044,0.338044,-0.354350,0.349748
1.4259,0.016748,-0.332723,0.332723,-0.354350,0.349748
1.4426,0.016745,-0.326418,0.326418,-0.349748,0.345146
1.4594,0.016737,-0.319171,0.319171,-0.346680,0.343612
1.4761,0.016740,-0.311024,0.311024,-0.343612,0.342078
1.4929,0.016741,-0.302027,0.302027,-0.342078,0.339010
1.5096,0.016744,-0.292235,0.292235,-0.339010,0.334408
1.5264,0.016746,-0.281710,0.281710,-0.339010,0.334408
1.5431,0.016747,-0.270516,0.270516,-0.332874,0.329806
1.5598,0.016739,-0.258731,0.258731,-0.322136,0.320602
1.5768,0.016920,-0.246287,0.246287,-0.308330,0.308330
1.5935,0.016746,-0.233521,0.233521,-0.292990,0.294524
1.6102,0.016744,-0.220390,0.220390,-0.276117,0.280718
1.6270,0.016742,-0.206975,0.206975,-0.276117,0.280718
1.6437,0.016752,-0.193350,0.193350,-0.260777,0.265379
1.6605,0.016741,-0.179617,0.179617,-0.246971,0.248505
1.6772,0.016746,-0.165848,0.165848,-0.233165,0.234699
1.6940,0.016745,-0.152134,0.152134,-0.217825,0.220893
1.7108,0.016851,-0.138475,0.138475,-0.199418,0.202485
1.7276,0.016743,-0.125127,0.125127,-0.199418,0.202485
1.7443,0.016749,-0.112083,0.112083,-0.179476,0.184078
1.7611,0.016745,-0.099430,0.099430,-0.161068,0.165670
1.7778,0.016754,-0.087238,0.087238,-0.145728,0.148796
1.7947,0.016903,-0.075489,0.075489,-0.131922,0.131922
1.8115,0.016793,-0.064439,0.064439,-0.116583,0.113515
1.8283,0.016740,-0.054109,0.054109,-0.116583,0.113515
1.8450,0.016753,-0.044521,0.044521,-0.096641,0.096641
1.8617,0.016742,-0.035749,0.035749,-0.081301,0.079767
1.8785,0.016751,-0.027836,0.027836,-0.067495,0.065961
1.8952,0.016747,-0.020838,0.020838,-0.058291,0.056757
1.9129,0.017668,-0.014492,0.014492,-0.044485,0.042951
1.9297,0.016814,-0.009483,0.009483,-0.044485,0.042951
1.9465,0.016754,-0.005521,0.005521,-0.027612,0.030680
1.9632,0.016741,-0.002615,0.002615,-0.021476,0.023010
1.9800,0.016750,-0.000777,0.000777,-0.018408,0.013806
1.9967,0.016745,-0.000021,0.000021,-0.009204,0.004602
2.0135,0.016824,-0.000355,0.000355,0.000000,0.000000
2.0303,0.016750,-0.001775,0.001775,0.000000,0.000000
2.0470,0.016755,-0.004272,0.004272,0.001534,-0.001534
2.0638,0.016744,-0.007826,0.007826,0.001534,-0.001534
2.0805,0.016752,-0.012421,0.012421,-0.006136,-0.001534
2.0973,0.016746,-0.018023,0.018023,-0.001534,0.004602
2.1144,0.017090,-0.024745,0.024745,-0.004602,0.013806
2.1311,0.016742,-0.032271,0.032271,-0.004602,0.013806
2.1479,0.016750,-0.040686,0.040686,-0.013806,0.015340
2.1646,0.016739,-0.049929,0.049929,-0.013806,0.015340
2.1814,0.016749,-0.059953,0.059953,-0.033748,0.019942
2.1981,0.016744,-0.070687,0.070687,-0.039884,0.032214
2.2151,0.017028,-0.082265,0.082265,-0.050621,0.049087
2.2319,0.016742,-0.094228,0.094228,-0.050621,0.049087
2.2486,0.016765,-0.106708,0.106708,-0.067495,0.069029
2.2654,0.016742,-0.119593,0.119593,-0.082835,0.079767
2.2821,0.016744,-0.132822,0.132822,-0.088971,0.085903
2.2989,0.016749,-0.146315,0.146315,-0.101243,0.099709
2.3158,0.016963,-0.160158,0.160158,-0.121184,0.119651
2.3326,0.016744,-0.173913,0.173913,-0.121184,0.119651
2.3493,0.016761,-0.187686,0.187686,-0.139592,0.139592
2.3661,0.016743,-0.201362,0.201362,-0.158000,0.154932
2.3828,0.016747,-0.214875,0.214875,-0.171806,0.167204
2.3996,0.016752,-0.228141,0.228141,-0.185612,0.181010
2.4165,0.016889,-0.241176,0.241176,-0.205553,0.202485
2.4332,0.016747,-0.253686,0.253686,-0.205553,0.202485
2.4500,0.016752,-0.265706,0.265706,-0.227029,0.222427
2.4667,0.016744,-0.277153,0.277153,-0.237767,0.236233
2.4835,0.016743,-0.287961,0.287961,-0.246971,0.245437
2.5002,0.016750,-0.298067,0.298067,-0.260777,0.259243
2.5170,0.016754,-0.307406,0.307406,-0.282252,0.280718
