t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
0.0000,0.000001,-0.349065,0.349065,-0.176408,0.173340
0.0168,0.016750,-0.340295,0.340295,-0.174874,0.173340
0.0335,0.016765,-0.331517,0.331517,-0.176408,0.174874
0.0503,0.016818,-0.322711,0.322711,-0.288388,0.280718
0.0671,0.016763,-0.313934,0.313934,-0.288388,0.280718
0.0839,0.016759,-0.305160,0.305160,-0.334408,0.326738
0.1006,0.016764,-0.296382,0.296382,-0.319068,0.316000
0.1175,0.016847,-0.287561,0.287561,-0.323670,0.320602
0.1342,0.016768,-0.278782,0.278782,-0.328272,0.323670
0.1510,0.016771,-0.270000,0.270000,-0.300660,0.299126
0.1678,0.016787,-0.261211,0.261211,-0.300660,0.299126
0.1845,0.016753,-0.252439,0.252439,-0.299126,0.297592
0.2013,0.016754,-0.243667,0.243667,-0.274583,0.279185
0.2182,0.016930,-0.234802,0.234802,-0.269981,0.271515
0.2350,0.016756,-0.226029,0.226029,-0.263845,0.262311
0.2518,0.016769,-0.217249,0.217249,-0.243903,0.242369
0.2685,0.016759,-0.208474,0.208474,-0.243903,0.242369
0.2853,0.016768,-0.199694,0.199694,-0.245437,0.243903
0.3020,0.016763,-0.190917,0.190917,-0.231631,0.231631
0.3193,0.017234,-0.181894,0.181894,-0.217825,0.217825
0.3360,0.016758,-0.173119,0.173119,-0.208621,0.208621
0.3528,0.016769,-0.164339,0.164339,-0.191748,0.190214
0.3696,0.016759,-0.155564,0.155564,-0.191748,0.190214
0.3863,0.016760,-0.146789,0.146789,-0.188680,0.185612
0.4031,0.016754,-0.138016,0.138016,-0.182544,0.177942
0.4200,0.016934,-0.129150,0.129150,-0.167204,0.162602
0.4368,0.016757,-0.120376,0.120376,-0.162602,0.159534
0.4539,0.017139,-0.111402,0.111402,-0.142660,0.144194
0.4707,0.016806,-0.102603,0.102603,-0.142660,0.144194
0.4875,0.016756,-0.093829,0.093829,-0.134990,0.133456
0.5042,0.016754,-0.085057,0.085057,-0.124252,0.124252
0.5210,0.016755,-0.076284,0.076284,-0.111981,0.108913
0.5377,0.016759,-0.067509,0.067509,-0.107379,0.102777
0.5545,0.016763,-0.058732,0.058732,-0.092039,0.090505
0.5731,0.018617,-0.048984,0.048984,-0.092039,0.090505
0.5899,0.016754,-0.040212,0.040212,-0.078233,0.076699
0.6066,0.016754,-0.031439,0.031439,-0.073631,0.078233
0.6234,0.016757,-0.022665,0.022665,-0.059825,0.065961
0.6401,0.016765,-0.013887,0.013887,-0.050621,0.053689
0.6569,0.016772,-0.005105,0.005105,-0.050621,0.053689
0.6737,0.016774,-0.003678,0.003678,-0.036816,0.039884
0.6904,0.016752,-0.012449,0.012449,-0.021476,0.024544
0.7072,0.016755,-0.021222,0.021222,-0.016874,0.019942
0.7240,0.016759,-0.029997,0.029997,-0.010738,0.012272
0.7407,0.016764,-0.038775,0.038775,-0.006136,0.004602
0.7575,0.016768,-0.047555,0.047555,-0.006136,0.004602
0.7742,0.016754,-0.056327,0.056327,-0.019942,0.021476
0.7910,0.016762,-0.065104,0.065104,-0.029146,0.026078
0.8080,0.017018,-0.074015,0.074015,-0.029146,0.032214
0.8248,0.016766,-0.082793,0.082793,-0.046019,0.047553
0.8422,0.017399,-0.091903,0.091903,-0.058291,0.053689
0.8590,0.016765,-0.100681,0.100681,-0.058291,0.053689
0.8757,0.016749,-0.109451,0.109451,-0.067495,0.065961
0.8925,0.016759,-0.118226,0.118226,-0.081301,0.076699
0.9092,0.016753,-0.126998,0.126998,-0.084369,0.081301
0.9260,0.016762,-0.135775,0.135775,-0.095107,0.096641
0.9427,0.016749,-0.144544,0.144544,-0.108913,0.102777
