t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
1.4439,0.016759,-0.325897,0.325897,-0.346680,0.345146
1.4607,0.016751,-0.318573,0.318573,-0.343612,0.337476
1.4775,0.016782,-0.310337,0.310337,-0.340544,0.339010
1.4942,0.016759,-0.301264,0.301264,-0.326738,0.329806
1.5110,0.016769,-0.291396,0.291396,-0.326738,0.329806
1.5277,0.016755,-0.280807,0.280807,-0.322136,0.317534
1.5445,0.016757,-0.269554,0.269554,-0.314466,0.312932
1.5613,0.016755,-0.257711,0.257711,-0.300660,0.303728
1.5780,0.016760,-0.245346,0.245346,-0.296058,0.297592
1.5948,0.016760,-0.232539,0.232539,-0.280718,0.279185
1.6115,0.016770,-0.219363,0.219363,-0.280718,0.279185
1.6283,0.016755,-0.205919,0.205919,-0.260777,0.257709
1.6451,0.016760,-0.192276,0.192276,-0.254641,0.253107
1.6618,0.016760,-0.178521,0.178521,-0.239301,0.240835
1.6786,0.016761,-0.164742,0.164742,-0.222427,0.225495
1.6953,0.016754,-0.151029,0.151029,-0.202485,0.202485
1.7121,0.016767,-0.137452,0.137452,-0.177942,0.177942
1.7288,0.016750,-0.124119,0.124119,-0.177942,0.177942
1.7456,0.016754,-0.111097,0.111097,-0.171806,0.170272
1.7624,0.016758,-0.098468,0.098468,-0.159534,0.158000
1.7791,0.016765,-0.086308,0.086308,-0.144194,0.142660
1.7959,0.016757,-0.074703,0.074703,-0.124252,0.122718
1.8126,0.016762,-0.063718,0.063718,-0.124252,0.122718
1.8294,0.016765,-0.053422,0.053422,-0.102777,0.104311
1.8462,0.016749,-0.043889,0.043889,-0.093573,0.093573
1.8629,0.016753,-0.035169,0.035169,-0.081301,0.081301
1.8797,0.016786,-0.027303,0.027303,-0.065961,0.064427
1.8967,0.016999,-0.020275,0.020275,-0.058291,0.055223
1.9148,0.018107,-0.013878,0.013878,-0.058291,0.055223
1.9316,0.016767,-0.008996,0.008996,-0.039884,0.036816
1.9483,0.016752,-0.005149,0.005149,-0.029146,0.029146
1.9668,0.018461,-0.002134,0.002134,-0.026078,0.027612
1.9835,0.016755,-0.000525,0.000525,-0.012272,0.015340
2.0003,0.016754,-0.000000,0.000000,-0.006136,0.006136
2.0171,0.016760,-0.000563,0.000563,-0.006136,0.006136
2.0338,0.016760,-0.002211,0.002211,-0.004602,0.007670
2.0506,0.016746,-0.004930,0.004930,0.006136,0.000000
2.0686,0.018064,-0.009047,0.009047,0.001534,0.000000
2.0854,0.016797,-0.013950,0.013950,-0.001534,0.007670
2.1022,0.016759,-0.019845,0.019845,0.001534,0.004602
2.1189,0.016755,-0.026702,0.026702,-0.009204,0.006136
2.1357,0.016764,-0.034485,0.034485,-0.009204,0.006136
2.1525,0.016757,-0.043137,0.043137,-0.015340,0.016874
2.1692,0.016752,-0.052605,0.052605,-0.012272,0.016874
2.1860,0.016811,-0.062871,0.062871,-0.024544,0.021476
2.2028,0.016758,-0.073801,0.073801,-0.036816,0.038350
2.2195,0.016766,-0.085364,0.085364,-0.036816,0.038350
2.2363,0.016755,-0.097476,0.097476,-0.044485,0.047553
2.2531,0.016758,-0.110070,0.110070,-0.056757,0.052155
2.2698,0.016775,-0.123079,0.123079,-0.069029,0.067495
2.2866,0.016763,-0.136400,0.136400,-0.076699,0.079767
